id,title,genres,averageRating,numVotes,releaseYear
tt2309260,"The Gallows","Horror, Mystery, Thriller",4.2,21898,2015
tt0318081,"A Sound of Thunder","Action, Adventure, Horror",4.2,20782,2005
tt3704538,"V/H/S Viral","Horror, Thriller",4.2,20237,2014
tt2752758,"Devil's Due","Horror, Mystery",4.2,18024,2014
tt0120860,"From Dusk Till Dawn 2: Texas Blood Money","Crime, Horror, Thriller",4.2,17746,1999
tt3480796,Vice,"Action, Sci-Fi, Thriller",4.2,17220,2015
tt8597594,Adverse,"Crime, Thriller",4.2,16228,2020
tt6372694,"Prisoners of the Ghostland","Fantasy, Horror, Thriller",4.2,14681,2021
tt5159414,"Escape Room","Horror, Thriller",4.2,14333,2017
tt13978306,Brazen,"Crime, Drama, Mystery",4.2,14056,2022
tt0120786,"The Patriot","Action, Thriller",4.2,13507,1998
tt0354623,"Hellraiser: Hellworld",Horror,4.2,13409,2005
tt7209472,"Aiyai: Wrathful Soul","Mystery, Thriller",4.2,12894,2020
tt0410650,"Species III","Horror, Sci-Fi",4.2,11304,2004
tt2933474,Superfast!,"Action, Comedy, Crime",4.2,11129,2015
tt2178508,"Son of Sardaar","Action, Comedy, Romance",4.2,10896,2012
tt0089200,Ghoulies,"Comedy, Fantasy, Horror",4.2,10682,1984
tt13452100,"Fabulous Lives of Bollywood Wives","Documentary, Reality-TV, Romance",4.2,10517,2020
tt11576124,Rogue,"Action, Horror, Thriller",4.2,10058,2020
tt1502712,"Fantastic Four","Action, Adventure, Sci-Fi",4.3,180151,2015
tt1071875,"Ghost Rider: Spirit of Vengeance","Action, Fantasy, Thriller",4.3,128556,2011
tt1043726,"The Legend of Hercules","Action, Adventure, Fantasy",4.3,56667,2014
tt15979666,"The Archies","Comedy, Drama, Musical",4.3,53019,2023
tt1620680,"A Wrinkle in Time","Adventure, Drama, Family",4.3,48397,2018
tt3089630,"Artemis Fowl","Adventure, Family, Fantasy",4.3,30788,2020
tt4030600,"The Bye Bye Man","Drama, Fantasy, Horror",4.3,26643,2017
tt2515086,"One Direction: This Is Us","Documentary, Music",4.3,25210,2013
tt0844760,"Starship Troopers 3: Marauder","Action, Adventure, Sci-Fi",4.3,24911,2008
tt11112808,Cirkus,"Comedy, Drama",4.3,23965,2022
tt6950476,Tejas,"Action, Drama, Thriller",4.3,23285,2023
tt0422774,"Are We Done Yet?","Comedy, Family",4.3,22935,2007
tt0319931,"American Idol","Documentary, Game-Show, Music",4.3,22357,2002
tt1577061,"Recep Ivedik 3",Comedy,4.3,21750,2010
tt0131704,"The Adventures of Rocky & Bullwinkle","Adventure, Comedy, Family",4.3,21414,2000
tt9649436,Enaaya,"Musical, Romance",4.3,20092,2019
tt1392197,Marmaduke,"Comedy, Family",4.3,17890,2010
tt0131646,"Wing Commander","Action, Adventure, Sci-Fi",4.3,17605,1999
tt6494418,Siberia,"Crime, Drama, Romance",4.3,17519,2018
tt13634480,"The Ice Age Adventures of Buck Wild","Adventure, Animation, Comedy",4.3,17517,2022
tt4019560,Exposed,"Crime, Drama, Mystery",4.3,17185,2016
tt0997047,"College Road Trip","Adventure, Comedy, Drama",4.3,16864,2008
tt3838992,"Yoga Hosers","Action, Comedy, Horror",4.3,15835,2016
tt0961722,"Cabin Fever 2: Spring Fever",Horror,4.3,15500,2009
tt1519461,"Area 51","Horror, Mystery, Sci-Fi",4.3,15396,2015
tt0167456,Thunderbirds,"Action, Adventure, Comedy",4.3,14655,2004
tt1320304,"30 Days of Night: Dark Days","Horror, Thriller",4.3,14561,2010
tt4824308,"God's Not Dead 2",Drama,4.3,13773,2016
tt0790804,"The Comebacks","Comedy, Sport",4.3,12144,2007
tt6003368,"Diary of a Wimpy Kid: The Long Haul","Adventure, Comedy, Family",4.3,11405,2017
tt1935302,"Monsters: Dark Continent","Action, Drama, Sci-Fi",4.3,11320,2014
tt10098288,Roohi,"Comedy, Horror",4.3,11203,2021
tt13322120,"American Sicario","Action, Crime, Drama",4.3,10920,2021
tt0190524,"Left Behind: The Movie","Action, Drama, Fantasy",4.3,10744,2000
tt3803860,Puli,"Action, Adventure, Fantasy",4.3,10667,2015
tt4575328,"2036 Origin Unknown","Action, Sci-Fi, Thriller",4.3,10186,2018
tt1333125,"Movie 43",Comedy,4.4,114724,2013
tt14954666,"The Idol","Drama, Music",4.4,112744,2023
tt1467304,"The Human Centipede (First Sequence)",Horror,4.4,90241,2009
tt0370032,Ultraviolet,"Action, Sci-Fi",4.4,84690,2006
tt0338459,"Spy Kids 3: Game Over","Action, Adventure, Comedy",4.4,67727,2003
tt1592873,LOL,"Comedy, Drama, Romance",4.4,58645,2012
tt10155932,Cinderella,"Comedy, Family, Fantasy",4.4,47912,2021
tt0105477,"Stop! Or My Mom Will Shoot","Action, Comedy",4.4,45423,1992
tt0430912,"Basic Instinct 2","Drama, Mystery, Thriller",4.4,42146,2006
tt3450650,"Paul Blart: Mall Cop 2","Action, Comedy, Crime",4.4,42063,2015
tt1615918,"Alvin and the Chipmunks: Chipwrecked","Adventure, Comedy, Family",4.4,40870,2011
tt0098105,"Police Academy 6: City Under Siege","Comedy, Crime",4.4,33727,1989
tt0107438,"Look Who's Talking Now","Comedy, Family, Romance",4.4,31384,1993
tt0775440,Cell,"Action, Adventure, Horror",4.4,31284,2016
tt3612126,"The Grudge","Fantasy, Horror",4.4,30370,2019
